name,kcal,protein,carbs,fat
fresh cheese (Lidl),52.0,8.5,4.6,0.5
banana,89.0,1.1,20.2,0.3
"bread (Aldi, meergranen)",254.0,12.0,33.0,6.6
"cheese (Leerdammer, light)",262.0,29.5,0.0,16.0
"ketchup (Aldi, hot)",116.0,1.1,26.0,0.5
Kong Strong (Green),48.0,0.0,11.4,0.0
milk (magere),38.0,3.6,5.1,0.3
oats,374.0,11.0,60.0,8.0
chia seeds,583.0,17.0,42.0,31.0
"cottage cheese (Lidl, light)",69.0,12.4,3.1,0.8
"minced chicken with onion, tomato, pepper (9/6/2021)",120.39,12.46,6.68,5.84
chocoladerotsjes (Lidl),485.0,6.7,69.0,20.0
"mozzarella (Lidl, shredded)",331.0,25.0,2.0,24.5
basmati rice,352.0,8.4,76.7,1.0
kombucha,23.0,0.0,6.0,0.0
ricotta (Lidl,150.0,7.0,3.0,12.0
sweet potato,90.0,2.0,21.0,0.1
"bread (Lidl, protein)",250.0,21.0,11.0,11.0
mango,60.0,0.0,15.0,0.0
cuberdon,331.0,1.6,72.0,0.0
"jam (blueberry, lowcarb)",32.0,0.3,6.1,0.0
peanut butter (100%),597.0,30.0,7.0,50.0
"chocolate (dark, 70%, JDGross)",565.0,8.4,33.8,41.5
melon,34.0,0.8,8.2,0.2
fries (frozen),124.0,2.2,19.0,3.7
"tropic fruit mix (Lidl, frozen)",48.0,0.6,8.6,0.3
cottage cheese (Lidl),98.0,11.5,2.8,4.5
"whey powder (Myprotein, Impact Whey)",412.0,82.0,4.0,7.5
egg,143.0,13.0,0.7,9.5
"shake with pb, oats, banana, milk, whey, cott. cheese and egg (11/6/2021)",202.62,12.92,11.89,11.53
"hamburger (Lidl, pork)",303.0,12.0,24.4,16.8
"Biscino (Sonday, melkchocolade)",506.0,7.7,57.6,26.0
"donut (Lidl, berlijnse bol)",239.0,5.3,32.3,9.7
"ramen (Smack, kacsa)",107.0,2.6,13.8,4.3
"mozzarella (Aldi, mini, light)",161.0,20.0,1.0,8.5
"whey choco spread (Body&Fit, salted caramel)",513.0,22.0,32.0,38.0
"dumplings (Kung Fu, chicken, mushroom)",175.0,8.1,22.0,5.7
bolognese (14/6/2021),121.49,12.95,5.09,6.25
chicken nuggets (BizBiz),197.0,13.0,18.0,8.0
samurai sauce (Boni),715.0,1.2,0.6,79.0
"speculoos paste (Mister Choc, crunchy)",563.0,3.8,61.0,33.5
"baguette (Lidl, unbaked)",248.0,8.5,50.0,1.0
"fries (homemade, raw)",103.8,2.5,21.0,1.35
fried calamari (Lidl),219.0,6.4,29.8,7.8
fresh cheese (Delhaize),49.0,6.7,5.1,0.0
fish sticks (Lidl),190.0,13.0,14.0,8.9
bolognese (19/06/2021),122.42,12.2,4.84,6.38
cuberdon truffles (Lidl),516.0,2.9,59.0,28.4
"mozzarella (Szarvasi, slices)",289.0,24.0,1.0,21.0
bread (white),267.0,8.2,49.6,3.6
"pasta (approx., 20/06/2019)",315.0,9.24,23.49,21.03
"milk (1.5%, magyar)",44.0,3.0,4.7,1.5
raffaello,628.0,7.5,38.3,48.6
"milk (2.8%, magyar)",56.0,3.0,2.8,4.6
Frosties (Kellog's),375.0,4.5,87.0,0.6
"grilled chicken wing (approx., 20/06/2021)",220.0,25.88,0.57,12.92
Túró Rudi (gesztenyés),342.0,7.1,42.0,16.0
Burn (orange),53.0,0.0,14.0,0.0
"krém tehéntúró (Aldi, zsírszegény)",98.0,11.0,3.6,4.4
"jam (apricot, 45%)",250.0,0.0,61.5,0.0
bolognese (21/06/2021),136.94,18.52,3.8,5.7
"bread (white, for toasting)",362.0,12.0,74.0,1.8
Hell (orange),45.0,0.0,10.8,0.0
choco syrup (Nesquik),282.0,2.2,62.7,1.2
"emmentaler (45%, slices)",347.0,26.0,0.0,27.0
"hamburger (approx., 22/06/2021)",260.0,17.0,11.0,16.0
honey,304.0,0.0,82.4,0.0
"chicken nuggets (Aldi, magyar)",212.0,16.0,17.0,8.6
Lipton ice tea,20.0,0.0,4.6,0.0
double chili cheese burger (Burger King),381.391,20.551,18.985,24.248
Texas sandwich (Burger King),258.621,10.0,23.621,13.448
fries (Burger King),270.946,4.73,33.649,13.108
double cheeseburger (McDonalds),267.0,16.0,18.0,14.0
magvas-szilvás papucs (Tesco),378.0,9.0,43.0,19.0
"sandwich (Lidl, turkey-egg)",246.0,10.1,17.2,14.6
"protein bar (DM, 60%, toffee)",383.0,60.0,2.0,10.6
nussschnecke (Lidl),349.0,7.3,39.3,17.4
"croissant sandwich (Starbucks, ham-cheese)",315.0,13.83333333,25.16666667,17.5
noodles (24/06/2021),140.7,14.2,16.6,1.5
fried cauliflower (24/06/2021),73.3,4.6,7.4,2.2
"rijstpap (Colruyt, Everyday)",109.0,3.4,21.0,1.3
Fanta,48.0,0.0,11.7,0.0
tortilla chips,509.0,7.1,66.5,23.6
wine (red),85.0,0.0,2.6,0.0
"lasagne (Carrefour, bolognese)",146.0,6.7,11.0,7.9
"ice cream (Carrefour, Dame Blanche)",228.0,2.5,32.0,9.9
"ramen (Lidl, chicken)",86.0,2.6,8.6,4.5
crackers (Lidl),380.0,13.0,72.0,3.5
milk slice (Kinder),421.0,7.9,34.0,27.9
"gouda cheese (Lidl, slices with skin)",370.0,25.0,0.0,30.0
kriek (Lindemans),54.0,0.0,6.3,0.0
popcorn,376.0,12.5,70.0,3.6
kaiser bun (Lidl),267.0,10.0,52.0,1.0
"minced chicken with onion, tomato (29/6/2021)",136.05,14.31,5.71,6.77
"mozzarella (Colruyt, shredded)",289.0,25.0,0.0,21.0
"panini (Boni, unbaked)",269.0,8.0,51.0,3.0
"speculoos paste (Lotus, crunchy)",571.0,3.2,58.8,35.7
"croissant (Delhaize, hazelnut)",389.0,6.0,43.0,21.0
"ice tea (Lipton, sparkling)",35.0,0.0,8.0,0.0
burger bread (Carrefour),293.0,10.0,47.0,6.2
brie cheese,351.0,17.0,1.0,33.0
baguette,249.0,10.0,50.0,1.0
hamburger patty (Carrefour),218.0,17.0,0.0,16.0
fresh cheese spread (Lidl),99.0,12.0,3.3,4.0
"beef meatballs (Carrefour, 72%)",255.0,15.0,2.6,20.0
muhammara,230.0,3.5,23.0,13.0
"greek yogurt (Oikos, vanilla)",155.0,2.9,14.8,9.2
kiwi,61.0,1.1,15.0,0.0
"minced pork with onion, tomato, pepper (2/7/2021)",197.3,18.05,5.68,12.64
minced chicken dough balls (2/7/2021),250.41,12.62,30.79,8.68
greek pasta (Boni),353.0,12.0,72.0,1.5
grilled pork ribs (approx. 4/7/2021),395.0,28.94,0.0,30.17
döner kebab (approx.),272.5,12.0,36.5,8.0
"ham (Aldi, filet de saxe)",116.0,25.0,0.6,1.5
"gouda cheese (Aldi, bio, slices)",394.0,26.0,1.0,32.0
"milk (1.5%, Romanian)",44.0,3.1,4.5,1.5
"cottage cheese (Hochland, margele de branza)",100.0,12.5,3.5,4.0
"bread (brown, for toast, 6/7/2021)",255.0,10.4,41.5,3.8
cheese spread (Gordon),203.0,9.5,5.3,16.0
"coffee (Müller, espresso macchiato)",64.0,3.2,9.9,1.2
hot wings (KFC),320.0,20.3,10.7,21.8
strips (KFC),274.0,20.3,13.7,15.4
glenm sauce (KFC),395.0,1.0,5.9,39.7
"ice cream (Corso, lime)",92.0,0.4,18.8,1.6
"radler (1.9%, Ciuc)",36.0,0.0,7.9,0.0
"cottage cheese (Covalact, bulgarasi de branza)",100.0,12.3,2.7,2.0
ice cream (Maxi Magic),340.0,0.73,34.65,20.65
"cascaval cheese (Delhaize, smoked)",358.0,23.0,0.0,29.0
"ham (Matache Macelaru, cotlet haiducesc)",103.5,21.4,1.1,1.5
goat kefir (3.9%),69.0,4.3,4.1,3.9
crispy sandwich (KFC),230.0,12.2,31.6,6.1
covridog,325.0,12.5,40.0,13.0
filled pretzel (sour cherry),219.15,2.0,45.0,3.5
plate of gyros (approx.),163.71,8.64,13.83,7.86
watermelon,30.0,0.6,7.6,0.1
"wrap (thai, Carrefour Express)",198.84,14.06,21.12,6.0
"drinking yoghurt (Actimel, forest fruits, cereals)",60.0,3.0,9.8,0.9
"ice cream (Napoca, white chocolate, almond)",309.0,4.1,27.0,20.5
"bean paste (Mega, fasole batuta)",140.0,5.2,8.5,7.5
grilled chicken breast (Mega),131.0,23.4,0.5,3.8
strudel (Luca),405.0,7.9,56.4,15.3
"pizzetti (7Days, tomato, cheese)",456.0,16.0,60.0,16.0
"cream spread, high protein (Lidl, Skyr based)",139.0,10.4,3.6,9.0
"mousse (Lidl, caramel)",150.0,3.6,20.1,6.5
"cottage cheese (Lidl, perle de branza, 6%)",109.0,11.0,2.7,6.0
smoked chicken leg (Lidl),163.0,17.0,1.5,9.5
"cheese (Lidl, branza de sandvis)",328.0,23.0,0.5,26.0
"quark (Lidl, low-fat)",66.0,12.0,4.1,0.2
"croissant (Lidl, ham-cheese)",325.0,11.3,31.4,16.9
"croissant (Lidl, butter)",384.0,7.0,44.0,20.0
quark snack (Lidl),321.0,8.8,32.2,17.2
sausage roll (Lidl),330.0,9.7,26.0,20.5
cappuccino (Lidl),59.0,3.0,8.6,1.3
"cottage cheese (Lidl, perle de branza, 3%)",80.0,11.0,2.3,3.0
"protein bar (DM, 50%, crispy pb)",368.0,50.1,3.9,10.9
"ham (Lidl, pork, Romanian)",208.0,24.0,1.0,12.0
covrig (sesame),377.0,12.27,39.0,15.44
cider (Strongbow),43.0,0.0,3.4,0.0
"gyros (Spartan, Leonidas)",247.63,7.0,17.85,15.85
Mexicorn (Mogyi),510.0,7.3,76.0,0.0
"cream spread (Hochland, herbs)",212.0,5.5,4.8,19.0
hot dog sausage (approx.),285.0,12.5,2.0,25.0
mustard,66.0,3.95,7.78,3.11
kürtös kalács,387.0,13.0,66.0,7.0
bell pepper,28.0,1.0,6.6,0.2
onion,43.0,1.0,9.0,0.25
carrot,35.0,1.0,7.0,0.2
garlic,127.0,6.0,25.0,0.27
chicken breast (raw),106.0,23.0,0.0,2.0
eggplant paste (Mega),87.0,1.0,4.1,6.9
instant coffee 3-in-1 (Nescafé),404.0,2.2,75.0,9.3
white bread,267.0,8.2,49.6,3.6
cevapi,239.0,16.0,1.0,19.0
milk burger (Eti),342.0,4.7,51.0,13.0
rice pudding (Müller),107.0,3.0,18.7,2.2
corn flakes (Auchan),373.0,8.2,79.3,1.6
crackers (Wasa),334.0,9.0,61.5,1.5
"ham (365 essential, pork)",99.0,16.0,0.5,3.0
cascaval cheese (Delhaize),314.0,26.0,0.5,23.0
"protein bar (DM, 50%, crispy vanille)",364.0,50.0,3.0,9.4
"protein bar (DM, 50%, crispy stracciatella)",369.0,50.2,0.9,11.6
hot dog (Lidl),245.0,8.0,25.0,12.0
"skyr (Lidl, flavored)",56.0,8.9,4.5,0.2
sugar,387.0,0.0,100.0,0.0
"ham (Lidl, filet de saxe)",110.0,22.4,1.5,1.5
"gouda cheese (Lidl, slices without skin)",344.0,23.1,0.0,27.9
corn flakes (365 essential),375.0,7.8,83.0,0.5
"coffee (Lidl, espresso macchiato)",56.0,3.0,8.2,1.2
"cooked meatballs (Lidl, chicken, patty shaped)",220.0,14.0,6.7,15.1
"pizza (Domino's, spicy chicken)",174.0,9.35,22.74,4.79
"cooked meatballs (Lidl, pork, patty shaped)",287.0,13.9,8.0,22.0
"sausage (Lidl, frankfurter)",285.0,13.0,2.0,25.0
martino spread,272.0,16.0,1.4,23.0
"lasagne (Lidl, vegan, bolognese)",116.0,6.7,11.0,4.6
kippenborrelhapjes (Lidl),199.0,19.2,1.4,12.9
pralines,555.0,5.7,50.0,36.0
banana bread,326.0,4.3,54.0,11.0
emmentaler (shredded),369.0,27.0,0.0,29.0
"churros (Lidl, unbaked)",154.0,3.8,31.2,0.8
olive oil,884.0,0.0,0.0,100.0
chicken thigh (raw),135.0,19.0,0.0,6.1
soy sauce (chili and garlic),51.0,0.0,8.4,4.2
oyster sauce (thick),111.0,0.0,28.0,0.0
ramen noodles,436.0,10.0,63.0,16.0
salmon salad spread (Lidl),324.0,9.5,5.4,29.4
guacamole (Lidl),151.0,1.8,1.2,14.2
Asian honey chicken thighs (Alina's),116.4,15.3,6.9,4.7
Chinese egg noodles (thick),373.0,11.8,75.1,1.6
"Greek yogurt (Lidl, honey)",142.0,3.8,13.1,8.3
sangria,94.0,0.0,8.3,0.0
quatre-quarts (Lidl),436.0,6.0,48.0,24.0
Asian honey chicken breast (Alina's),131.0,19.6,5.8,2.3
energy drink (59 kcal),59.0,0.0,14.8,0.0
"ice cream (Lidl, rocket)",92.0,0.0,22.5,0.0
"ice cream (Lidl, sun fruit orange)",105.0,0.4,24.7,0.0
"ice cream (Lidl, mini fruit orange)",69.0,0.0,16.5,0.0
"ice cream (Lidl, mini fruit strawberry)",115.0,0.1,27.8,0.1
"ice cream (Lidl, pushup)",198.0,1.8,27.6,8.8
"kaiser bun (Lidl, unbaked)",248.0,9.9,50.0,0.3
Asian honey chicken thighs 2 (Alina's),120.0,16.2,5.0,3.2
"ice cream (Lidl, little octo)",140.0,0.1,28.3,2.6
meatballs (2/8/2021),189.0,17.0,12.0,7.8
lentil chips (Lidl),457.0,14.0,58.0,18.0
chicken drums (raw),161.0,18.1,0.1,9.2
piccolo (unbaked),248.0,8.5,50.0,1.0
starch,358.61,0.0,89.09,0.0
minced chicken dish (Alina's 6/8/2021),120.0,12.9,3.4,5.9
papanasi,223.0,14.3,20.7,9.3
