name,g,date
fresh cheese (Lidl),500.0,09/06/2021
banana,100.0,09/06/2021
"bread (Aldi, meergranen)",72.0,09/06/2021
"cheese (Leerdammer, light)",50.0,09/06/2021
"ketchup (Aldi, hot)",6.0,09/06/2021
Kong Strong (Green),500.0,09/06/2021
milk (magere),400.0,09/06/2021
oats,125.0,09/06/2021
chia seeds,24.0,09/06/2021
"cottage cheese (Lidl, light)",400.0,09/06/2021
chocoladerotsjes (Lidl),26.66666666666667,09/06/2021
"mozzarella (Lidl, shredded)",50.0,09/06/2021
"minced chicken with onion, tomato, pepper (9/6/2021)",225.0,09/06/2021
basmati rice,62.5,09/06/2021
kombucha,300.0,09/06/2021
ricotta (Lidl),250.0,09/06/2021
"minced chicken with onion, tomato, pepper (9/6/2021)",225.0,10/06/2021
basmati rice,62.5,10/06/2021
"mozzarella (Lidl, shredded)",20.0,10/06/2021
banana,100.0,10/06/2021
kombucha,60.0,10/06/2021
sweet potato,300.0,10/06/2021
fresh cheese (Lidl),500.0,10/06/2021
kombucha,106.0,10/06/2021
"bread (Lidl, protein)",72.0,10/06/2021
"cheese (Leerdammer, light)",75.0,10/06/2021
mango,182.0,10/06/2021
cuberdon,24.0,10/06/2021
"minced chicken with onion, tomato, pepper (9/6/2021)",118.0,10/06/2021
kombucha,66.0,10/06/2021
"minced chicken with onion, tomato, pepper (9/6/2021)",332.0,10/06/2021
"mozzarella (Lidl, shredded)",48.0,10/06/2021
milk (magere),145.0,10/06/2021
peanut butter (100%),50.0,10/06/2021
"jam (blueberry, lowcarb)",12.0,10/06/2021
banana,100.0,10/06/2021
banana,100.0,11/06/2021
milk (magere),40.0,11/06/2021
"cottage cheese (Lidl, light)",200.0,11/06/2021
kombucha,95.0,11/06/2021
"chocolate (dark, 70%, JDGross)",21.0,11/06/2021
"minced chicken with onion, tomato, pepper (9/6/2021)",450.0,11/06/2021
basmati rice,125.0,11/06/2021
"cheese (Leerdammer, light)",50.0,11/06/2021
melon,74.0,11/06/2021
cuberdon,36.0,11/06/2021
kombucha,185.0,11/06/2021
melon,72.0,11/06/2021
fries (frozen),272.0,11/06/2021
"tropic fruit mix (Lidl, frozen)",259.0,11/06/2021
"shake with pb, oats, banana, milk, whey, cott. cheese and egg (11/6/2021)",260.0,11/06/2021
"hamburger (Lidl, pork)",160.0,11/06/2021
"cheese (Leerdammer, light)",25.0,11/06/2021
"hamburger (Lidl, pork)",160.0,12/06/2021
"shake with pb, oats, banana, milk, whey, cott. cheese and egg (11/6/2021)",90.0,12/06/2021
fresh cheese (Lidl),500.0,12/06/2021
melon,89.0,12/06/2021
"Biscino (Sonday, melkchocolade)",13.888888888888893,12/06/2021
kombucha,127.0,12/06/2021
"hamburger (Lidl, pork)",160.0,12/06/2021
"hamburger (Lidl, pork)",160.0,12/06/2021
"cheese (Leerdammer, light)",25.0,12/06/2021
fresh cheese (Lidl),500.0,12/06/2021
kombucha,118.0,12/06/2021
fries (frozen),200.0,12/06/2021
"ketchup (Aldi, hot)",10.0,12/06/2021
"ramen (Smack, kacsa)",400.0,12/06/2021
"shake with pb, oats, banana, milk, whey, cott. cheese and egg (11/6/2021)",80.0,13/06/2021
"cottage cheese (Lidl, light)",200.0,13/06/2021
milk (magere),50.0,13/06/2021
Kong Strong (Green),500.0,13/06/2021
milk (magere),100.0,13/06/2021
"shake with pb, oats, banana, milk, whey, cott. cheese and egg (11/6/2021)",140.0,13/06/2021
fries (frozen),304.0,13/06/2021
"mozzarella (Lidl, shredded)",100.0,13/06/2021
melon,150.0,13/06/2021
fresh cheese (Lidl),500.0,13/06/2021
"Biscino (Sonday, melkchocolade)",27.7777,13/06/2021
milk (magere),150.0,13/06/2021
kombucha,155.0,13/06/2021
"shake with pb, oats, banana, milk, whey, cott. cheese and egg (11/6/2021)",75.0,13/06/2021
"bread (Lidl, protein)",50.0,13/06/2021
"cheese (Leerdammer, light)",25.0,13/06/2021
"mozzarella (Aldi, mini, light)",33.3333,13/06/2021
"whey choco spread (Body&Fit, salted caramel)",22.0,13/06/2021
kombucha,150.0,13/06/2021
"dumplings (Kung Fu, chicken, mushroom)",228.6,13/06/2021
"Biscino (Sonday, melkchocolade)",13.888888888888893,14/06/2021
milk (magere),40.0,14/06/2021
"cottage cheese (Lidl, light)",200.0,14/06/2021
"Biscino (Sonday, melkchocolade)",13.888888888888893,14/06/2021
"shake with pb, oats, banana, milk, whey, cott. cheese and egg (11/6/2021)",100.0,14/06/2021
"hamburger (Lidl, pork)",320.0,14/06/2021
"tropic fruit mix (Lidl, frozen)",145.0,14/06/2021
bolognese (14/6/2021),100.0,14/06/2021
kombucha,200.0,14/06/2021
kombucha,140.0,14/06/2021
bolognese (14/6/2021),320.0,14/06/2021
"shake with pb, oats, banana, milk, whey, cott. cheese and egg (11/6/2021)",70.0,14/06/2021
bolognese (14/6/2021),250.0,14/06/2021
"mozzarella (Lidl, shredded)",40.0,14/06/2021
fresh cheese (Lidl),500.0,14/06/2021
kombucha,220.0,14/06/2021
"ketchup (Aldi, hot)",8.0,15/06/2021
chicken nuggets (BizBiz),250.0,15/06/2021
mango,180.0,15/06/2021
fresh cheese (Lidl),500.0,15/06/2021
chicken nuggets (BizBiz),134.615,15/06/2021
"Biscino (Sonday, melkchocolade)",41.66666666666668,15/06/2021
bolognese (14/6/2021),500.0,15/06/2021
"cheese (Leerdammer, light)",50.0,15/06/2021
kombucha,190.0,15/06/2021
"shake with pb, oats, banana, milk, whey, cott. cheese and egg (11/6/2021)",120.0,15/06/2021
milk (magere),140.0,15/06/2021
samurai sauce (Boni),10.0,15/06/2021
"shake with pb, oats, banana, milk, whey, cott. cheese and egg (11/6/2021)",135.0,15/06/2021
banana,95.0,15/06/2021
banana,100.0,16/06/2021
"cottage cheese (Lidl, light)",200.0,16/06/2021
milk (magere),40.0,16/06/2021
"speculoos paste (Mister Choc, crunchy)",25.0,16/06/2021
chicken nuggets (BizBiz),115.384615384,16/06/2021
Kong Strong (Green),500.0,16/06/2021
kombucha,330.0,16/06/2021
chicken nuggets (BizBiz),96.153846,16/06/2021
fresh cheese (Lidl),500.0,16/06/2021
chicken nuggets (BizBiz),115.384615384,16/06/2021
chicken nuggets (BizBiz),115.384615384,16/06/2021
"speculoos paste (Mister Choc, crunchy)",33.0,16/06/2021
milk (magere),290.0,16/06/2021
"baguette (Lidl, unbaked)",75.0,16/06/2021
"cheese (Leerdammer, light)",50.0,16/06/2021
mango,160.0,16/06/2021
milk (magere),40.0,16/06/2021
cottage cheese (Lidl),200.0,16/06/2021
"baguette (Lidl, unbaked)",75.0,16/06/2021
"cheese (Leerdammer, light)",50.0,16/06/2021
"baguette (Lidl, unbaked)",75.0,16/06/2021
"mozzarella (Aldi, mini, light)",92.0,16/06/2021
milk (magere),100.0,17/06/2021
"speculoos paste (Mister Choc, crunchy)",30.0,17/06/2021
fresh cheese (Lidl),500.0,17/06/2021
kombucha,75.0,17/06/2021
"fries (homemade, raw)",230.0,17/06/2021
"ketchup (Aldi, hot)",10.0,17/06/2021
"mozzarella (Lidl, shredded)",35.0,17/06/2021
"baguette (Lidl, unbaked)",75.0,17/06/2021
"cheese (Leerdammer, light)",25.0,17/06/2021
banana,86.0,17/06/2021
milk (magere),50.0,17/06/2021
cottage cheese (Lidl),200.0,17/06/2021
chicken nuggets (BizBiz),500.0,17/06/2021
"ketchup (Aldi, hot)",10.0,17/06/2021
fresh cheese (Lidl),500.0,17/06/2021
"speculoos paste (Mister Choc, crunchy)",35.0,17/06/2021
"baguette (Lidl, unbaked)",75.0,17/06/2021
"mozzarella (Lidl, shredded)",52.0,17/06/2021
milk (magere),204.0,17/06/2021
milk (magere),180.0,18/06/2021
"speculoos paste (Mister Choc, crunchy)",28.0,18/06/2021
fresh cheese (Lidl),250.0,18/06/2021
fried calamari (Lidl),250.0,18/06/2021
samurai sauce (Boni),8.0,18/06/2021
milk (magere),208.0,18/06/2021
fresh cheese (Delhaize),500.0,18/06/2021
"baguette (Lidl, unbaked)",150.0,18/06/2021
"cheese (Leerdammer, light)",50.0,18/06/2021
"speculoos paste (Mister Choc, crunchy)",30.0,18/06/2021
fresh cheese (Delhaize),500.0,18/06/2021
fish sticks (Lidl),30.0,18/06/2021
milk (magere),100.0,18/06/2021
"cottage cheese (Lidl, light)",200.0,18/06/2021
banana,80.0,18/06/2021
"speculoos paste (Mister Choc, crunchy)",35.0,19/06/2021
"baguette (Lidl, unbaked)",75.0,19/06/2021
milk (magere),150.0,19/06/2021
fresh cheese (Lidl),500.0,19/06/2021
chicken nuggets (BizBiz),500.0,19/06/2021
Kong Strong (Green),500.0,19/06/2021
"ketchup (Aldi, hot)",10.0,19/06/2021
fresh cheese (Lidl),500.0,19/06/2021
basmati rice,50.0,19/06/2021
bolognese (19/06/2021),210.0,19/06/2021
"mozzarella (Lidl, shredded)",25.0,19/06/2021
kombucha,180.0,19/06/2021
milk (magere),240.0,19/06/2021
milk (magere),74.0,19/06/2021
banana,100.0,19/06/2021
"cottage cheese (Lidl, light)",200.0,19/06/2021
cuberdon truffles (Lidl),11.67,19/06/2021
cuberdon truffles (Lidl),11.67,19/06/2021
milk (magere),416.0,19/06/2021
bolognese (19/06/2021),200.0,20/06/2021
"mozzarella (Lidl, shredded)",30.0,20/06/2021
fresh cheese (Lidl),500.0,20/06/2021
"baguette (Lidl, unbaked)",150.0,20/06/2021
bolognese (19/06/2021),500.0,20/06/2021
"mozzarella (Lidl, shredded)",54.0,20/06/2021
"mozzarella (Szarvasi, slices)",100.0,20/06/2021
bread (white),100.0,20/06/2021
"pasta (approx., 20/06/2019)",50.0,20/06/2021
"milk (1.5%, magyar)",200.0,20/06/2021
raffaello,10.0,20/06/2021
banana,100.0,20/06/2021
Frosties (Kellog's),50.0,20/06/2021
"milk (2.8%, magyar)",200.0,20/06/2021
"grilled chicken wing (approx., 20/06/2021)",50.0,20/06/2021
Frosties (Kellog's),100.0,21/06/2021
"milk (2.8%, magyar)",200.0,21/06/2021
Túró Rudi (gesztenyés),51.0,21/06/2021
Burn (orange),250.0,21/06/2021
"krém tehéntúró (Aldi, zsírszegény)",250.0,21/06/2021
"milk (2.8%, magyar)",40.0,21/06/2021
"jam (apricot, 45%)",20.0,21/06/2021
"mozzarella (Szarvasi, slices)",30.0,21/06/2021
bolognese (21/06/2021),250.0,21/06/2021
"bread (white, for toasting)",50.0,21/06/2021
"bread (white, for toasting)",50.0,21/06/2021
"mozzarella (Szarvasi, slices)",20.0,21/06/2021
"mozzarella (Szarvasi, slices)",20.0,21/06/2021
Hell (orange),250.0,21/06/2021
"krém tehéntúró (Aldi, zsírszegény)",250.0,21/06/2021
"milk (2.8%, magyar)",80.0,21/06/2021
choco syrup (Nesquik),15.0,21/06/2021
bolognese (21/06/2021),350.0,21/06/2021
"mozzarella (Szarvasi, slices)",30.0,21/06/2021
"bread (white, for toasting)",100.0,21/06/2021
oats,100.0,21/06/2021
"milk (2.8%, magyar)",200.0,21/06/2021
"krém tehéntúró (Aldi, zsírszegény)",200.0,22/06/2021
choco syrup (Nesquik),15.0,22/06/2021
